,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
4656,795378398401248815,https://www.airbnb.com/rooms/795378398401248815,20240917031253,2024-09-17,city scrape,"Lovely bedrm in tall, bright & relaxing apartment.","Kick back & relax in this calm, stylish space.<br />As you may already know Logan Square has been listed as one of the top 10 neighborhoods to live in in the US.<br />Only 3min walk to the train to go to Downtown Chicago or airport. Endless great places to dine, drink & have fun within walking distance.<br />This beautiful, stylish, comfortable space is waiting to host your vacation needs.<br />This very clean space is perfect for 1-2 individuals looking to enjoy the wonderful experiences that Chicago has to offer.","OVERVIEW<br />Logan Square east is a Great LOCATION - the perfect location to access the most popular places in Chicago quickly, like Airport, Downtown Chicago, Wrigley Field, Museums, etc<br /><br />It is also walking distance to amazing places to work out, entertainment, have coffee, dine or enjoy refreshing spirits.<br /><br />You will love it.",https://a0.muscache.com/pictures/992930af-9632-4322-9409-7b28e893c8a9.jpg,25074085,https://www.airbnb.com/users/show/25074085,Joe,2014-12-21,"Chicago, IL",,within an hour,100%,99%,t,https://a0.muscache.com/im/pictures/user/8963a7e7-d5a7-4c05-86bb-faa3383733a8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/8963a7e7-d5a7-4c05-86bb-faa3383733a8.jpg?aki_policy=profile_x_medium,Logan Square,5,5,"['email', 'phone']",t,f,Neighborhood highlights,Logan Square,,41.92547678874058,-87.69586360321077,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Shower gel"", ""Refrigerator"", ""First aid kit"", ""Self check-in"", ""Wifi"", ""Heating"", ""Exterior security cameras on property"", ""Coffee"", ""Lock on bedroom door"", ""Shampoo"", ""Wine glasses"", ""Hangers"", ""Oven"", ""Private entrance"", ""Free parking on premises"", ""Bathtub"", ""Room-darkening shades"", ""Clothing storage"", ""Patio or balcony"", ""Paid dryer \u2013 In building"", ""Outdoor furniture"", ""Lockbox"", ""Hot water kettle"", ""Body soap"", ""Paid washer \u2013 In building"", ""Coffee maker"", ""Books and reading material"", ""Conditioner"", ""Hair dryer"", ""Cleaning products"", ""Essentials"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""Dishes and silverware"", ""Laundromat nearby"", ""City skyline view"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Window AC unit"", ""55 inch HDTV with Netflix, Roku, HBO Max, Amazon Prime Video"", ""Smoke alarm"", ""Gas stove"", ""Extra pillows and blankets"", ""Free street parking"", ""Board games"", ""Freezer"", ""Baking sheet"", ""Ceiling fan"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",$70.00,2,41,2,2,41,41,2.0,41.0,,t,6,26,56,331,2024-09-17,5,3,1,2023-07-02,2024-08-27,4.4,4.2,4.2,4.4,4.8,4.6,4.4,R22000084073,f,5,3,2,0,0.34
4900,839864768220749471,https://www.airbnb.com/rooms/839864768220749471,20240917031253,2024-09-17,city scrape,Family Style Chicago,,,https://a0.muscache.com/pictures/miso/Hosting-839864768220749471/original/9e6fe8d9-7051-4e15-878f-79954eea02b6.jpeg,449465361,https://www.airbnb.com/users/show/449465361,Joe,2022-03-13,,,a few days or more,11%,25%,f,https://a0.muscache.com/defaults/user_pic-50x50.png?v=3,https://a0.muscache.com/defaults/user_pic-225x225.png?v=3,Old Irving Park,1,1,"['email', 'phone']",f,f,,Irving Park,,41.9464895,-87.7290835,Entire home,Entire home/apt,12,2.0,2 baths,3.0,3.0,"[""Hot tub"", ""BBQ grill"", ""Smoke alarm"", ""First aid kit"", ""Free parking on premises"", ""Indoor fireplace"", ""Wifi"", ""Pets allowed"", ""Fire extinguisher"", ""TV"", ""Air conditioning"", ""Outdoor dining area"", ""Dedicated workspace"", ""Exercise equipment"", ""Kitchen"", ""Carbon monoxide alarm"", ""Washer""]",$520.00,3,365,3,3,365,365,3.0,365.0,,,26,56,86,266,2024-09-17,0,0,0,,,,,,,,,,,f,1,1,0,0,
5091,866750471253080309,https://www.airbnb.com/rooms/866750471253080309,20240917031253,2024-09-17,city scrape,Vintage Walk-up in Old Town,"You and your guests will be close to everything when you stay at this centrally-located place. Quiet culdesac street in quaint Old Town neighborhood.  Bars, restaurants, walking distance to Lake Michigan, public transportation near by, in the heart of Chicago Three bedrooms, 1 bathroom, bright Living room and separate dining room.  Well equipped kitchen and access to outdoor space.",,https://a0.muscache.com/pictures/miso/Hosting-866750471253080309/original/18646f71-11a7-40bd-9c53-e1205006bb84.jpeg,60729750,https://www.airbnb.com/users/show/60729750,Joe,2016-02-28,"Chicago, IL",Chicago…my kinda town,within an hour,100%,95%,t,https://a0.muscache.com/im/pictures/user/38e6c9a0-a720-4e97-9c9f-7b91ebf1a4b4.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/38e6c9a0-a720-4e97-9c9f-7b91ebf1a4b4.jpg?aki_policy=profile_x_medium,Old Town Triangle,1,1,"['email', 'phone']",t,f,,Lincoln Park,,41.9137127,-87.64136669999999,Entire home,Entire home/apt,6,1.0,1 bath,3.0,4.0,"[""Shower gel"", ""Refrigerator"", ""First aid kit"", ""Self check-in"", ""Wifi"", ""Dishwasher"", ""Pets allowed"", ""Central heating"", ""Smart lock"", ""Dining table"", ""Coffee"", ""Shampoo"", ""Wine glasses"", ""Hangers"", ""Oven"", ""Private entrance"", ""Free parking on premises"", ""Bathtub"", ""TV"", ""Air conditioning"", ""Long term stays allowed"", ""Children\u2019s books and toys"", ""Washer"", ""Body soap"", ""Conditioner"", ""Hair dryer"", ""Cleaning products"", ""Free dryer \u2013 In building"", ""Essentials"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Piano"", ""Dedicated workspace"", ""Coffee maker: Keurig coffee machine"", ""Toaster"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Free street parking"", ""Clothing storage: closet and dresser"", ""Freezer"", ""Baking sheet"", ""Ceiling fan"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",$342.00,2,1125,2,2,1125,1125,2.0,1125.0,,t,14,35,58,148,2024-09-17,44,22,3,2023-05-07,2024-09-15,5.0,4.95,4.95,4.91,4.95,5.0,4.86,R23000107118,f,1,1,0,0,2.64
5188,882212649694134413,https://www.airbnb.com/rooms/882212649694134413,20240917031253,2024-09-17,city scrape,Charming 2BR Gem:Just a 3-Min Stroll to the Train,"Kick back and relax in this calm, stylish space.<br /><br />Clean & cozy 2 bedroom with spacious kitchen & bright living room.<br />Walking distance to over 100 eateries, cafes, bars, game rooms, theaters, gyms, shopping, etc.<br />15-20 min train ride to Airport or Downtown Chicago. You will love it.",Great LOCATION - the perfect location to access the most popular places in Chicago quickly.,https://a0.muscache.com/pictures/72fe0bad-d3b2-4745-8aaf-ec5bb1d97947.jpg,25074085,https://www.airbnb.com/users/show/25074085,Joe,2014-12-21,"Chicago, IL",,within an hour,100%,99%,t,https://a0.muscache.com/im/pictures/user/8963a7e7-d5a7-4c05-86bb-faa3383733a8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/8963a7e7-d5a7-4c05-86bb-faa3383733a8.jpg?aki_policy=profile_x_medium,Logan Square,5,5,"['email', 'phone']",t,f,Neighborhood highlights,Logan Square,,41.92541959714492,-87.69548820660364,Entire rental unit,Entire home/apt,2,1.0,1 bath,2.0,2.0,"[""Shower gel"", ""First aid kit"", ""Self check-in"", ""Wifi"", ""Central heating"", ""Exterior security cameras on property"", ""Dining table"", ""Coffee"", ""Shampoo"", ""Wine glasses"", ""Hangers"", ""Private entrance"", ""Bathtub"", ""50 inch HDTV with Amazon Prime Video, Apple TV, Disney+, Chromecast, Fire TV, HBO Max, Hulu, Netflix"", ""Lockbox"", ""Paid dryer \u2013 In building"", ""Long term stays allowed"", ""Coffee maker"", ""Hot water kettle"", ""Body soap"", ""Paid washer \u2013 In building"", ""GE refrigerator"", ""Books and reading material"", ""Conditioner"", ""Hair dryer"", ""Cleaning products"", ""Essentials"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""Dishes and silverware"", ""Laundromat nearby"", ""City skyline view"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Window AC unit"", ""Kenmore gas stove"", ""Toaster"", ""Smoke alarm"", ""Free street parking"", ""Blender"", ""Board games"", ""Clothing storage: closet and dresser"", ""Freezer"", ""Ceiling fan"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",$105.00,2,45,2,2,45,45,2.0,45.0,,t,12,36,66,341,2024-09-17,48,35,6,2023-06-05,2024-09-13,4.81,4.83,4.79,4.81,4.92,4.83,4.73,R22000084073,f,5,3,2,0,3.06
5380,906418845295635367,https://www.airbnb.com/rooms/906418845295635367,20240917031253,2024-09-17,city scrape,Solar Victorian MCM Coach House,"Immerse in solar-powered serenity amidst the bustling restaurant, shopping and nightlife scene of the Wicker Park neighborhood of Chicago. Large, loft-like and super sunny one bedroom includes full kitchen with new appliances, landscaped garden patio, and EV charging in an enclosed and attached garage space. All powered by a full array of high-efficiency rooftop solar panels. Five minute walk to the Damen Blue Line and the 606 Elevated Trail for cyclists and runners.",,https://a0.muscache.com/pictures/hosting/Hosting-906418845295635367/original/0861d8b1-a2f9-4062-b6a0-96d3fc3c75a4.jpeg,402123596,https://www.airbnb.com/users/show/402123596,Joe,2021-05-17,"Chicago, IL","Brand strategist. Musician. Husband to Shannon and father of our adopted twin daughters, Alexi & Ivy. Chicago resident, former expat in Beijing, and citizen of the world.",within an hour,100%,91%,f,https://a0.muscache.com/im/pictures/user/98650314-e518-4f2f-9f8d-9f02a2402ea5.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/98650314-e518-4f2f-9f8d-9f02a2402ea5.jpg?aki_policy=profile_x_medium,West Town,1,1,"['email', 'phone']",t,f,,West Town,,41.906681526731205,-87.6812457293272,Entire guesthouse,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Shower gel"", ""First aid kit"", ""Self check-in"", ""Wifi"", ""Central heating"", ""Shared backyard \u2013 Fully fenced"", ""Exterior security cameras on property"", ""Smart lock"", ""Dining table"", ""Coffee"", ""Shampoo"", ""Hangers"", ""Private entrance"", ""Free parking on premises"", ""Coffee maker: drip coffee maker, french press, pour-over coffee"", ""TV"", ""Air conditioning"", ""Frigidaire refrigerator"", ""Outdoor furniture"", ""Long term stays allowed"", ""Hot water kettle"", ""Outdoor dining area"", ""Books and reading material"", ""Conditioner"", ""Bed linens"", ""Cleaning products"", ""Essentials"", ""Dishes and silverware"", ""Fire extinguisher"", ""Clothing storage: wardrobe"", ""EV charger - level 2"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Shared patio or balcony"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Samsung stainless steel single oven"", ""Free street parking"", ""Blender"", ""Samsung gas stove"", ""Freezer"", ""Baking sheet"", ""Ceiling fan"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",$176.00,2,90,2,2,90,90,2.0,90.0,,t,2,14,38,119,2024-09-17,16,16,7,2024-05-26,2024-09-15,4.94,5.0,5.0,5.0,5.0,5.0,4.88,R23000109621,f,1,1,0,0,4.17
5745,952833180344231586,https://www.airbnb.com/rooms/952833180344231586,20240917031253,2024-09-17,city scrape,Trendy Getaway in Wicker Park,"Come stay in one of Chicago's trendiest and most creative neighborhoods! Wicker Park is a hotspot for one-of-a-kind boutique shops, chic book and record stores, countless art galleries as well as a highly-regarded, palate-pleasing dining and craft cocktail scene. You will have access to the entire 2 bedroom, 2 bathroom condo. Our home is located on a busier street due to it's central and convenient location, but it is in a quiet building on the 3rd floor. Come make some memories!","Wicker Park is an ultra-popular, multifaceted neighborhood that appeals to people from all walks of life. A blend of chic restaurants, dive bars, vintage boutiques, high-end retailers, art galleries, and recession-proof book and record stores reflect its rich eccentric spirit. To the north, avid runners and bikers and even those who prefer leisure strolls can hop on the Bloomingdale Trail (or “The 606”), an elevated rail trail stretching through several Chicago communities. The urban oasis brings residents, art installations, and landscape design together for a trendsetting experience with endless possibilities for the day or night.",https://a0.muscache.com/pictures/miso/Hosting-952833180344231586/original/fec32592-8987-4db0-8132-b7f478ced38e.jpeg,409349669,https://www.airbnb.com/users/show/409349669,Mark,2021-06-26,,,within an hour,97%,100%,t,https://a0.muscache.com/im/pictures/user/57964f1a-d47c-4b4f-a7b4-dbd8abbf2a6b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/57964f1a-d47c-4b4f-a7b4-dbd8abbf2a6b.jpg?aki_policy=profile_x_medium,Lincoln Park,5,5,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,West Town,,41.90178883766841,-87.66407987180494,Entire condo,Entire home/apt,4,2.0,2 baths,2.0,2.0,"[""Shower gel"", ""Paid parking on premises"", ""Refrigerator"", ""55 inch HDTV with Amazon Prime Video, Netflix"", ""First aid kit"", ""Self check-in"", ""Wifi"", ""Dishwasher"", ""Central heating"", ""Free dryer \u2013 In unit"", ""All Natural shampoo"", ""Dining table"", ""Coffee"", ""Cleaning available during stay"", ""Wine glasses"", ""Hangers"", ""Private entrance"", ""Bathtub"", ""Clothing storage"", ""Lockbox"", ""Long term stays allowed"", ""Central air conditioning"", ""Hot water kettle"", ""Dishes and silverware"", ""Hair dryer"", ""Cleaning products"", ""Essentials"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""Free washer \u2013 In unit"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Toaster"", ""Coffee maker: Keurig coffee machine"", ""Smoke alarm"", ""Gas stove"", ""Extra pillows and blankets"", ""Stainless steel double oven"", ""Free street parking"", ""Blender"", ""Freezer"", ""Baking sheet"", ""Paid street parking off premises"", ""Ceiling fan"", ""All Natural conditioner"", ""Cooking basics"", ""All Natural body soap"", ""Microwave"", ""Hot water""]",$202.00,1,365,2,3,1125,1125,2.0,1125.0,,t,21,36,36,48,2024-09-17,16,11,1,2023-08-20,2024-09-02,4.56,4.73,4.47,4.53,4.6,4.8,4.27,R23000104493,f,5,5,0,0,1.22
5759,954290865421457015,https://www.airbnb.com/rooms/954290865421457015,20240917031253,2024-09-17,city scrape,Funky Logan Lair,"This gem is located in West Logan in the heart of everything Logan has to offer.  The space is the basement unit of an owner-occupied single-family home with private entrance.  One bedroom unit with a queen-size bed and living room with connecting kitchenette & bathroom with stand-up shower.  The space includes a full size washer and dryer.  Located next to the 606 Trail. Private entrance, Easy access to CTA and Divvy Bike Rentals, Free Wi-Fi, Fridge, microwave, toaster & Nespresso(with pods)","Logan Square is a thriving, multi-cultural community of arts organizations, intimate music venues, locally owned shops, trendy cocktail bars, and beyond. Its creative energy and urban vibe make it a go-to for locals looking for the next cool thing. The space is located next to the 606 Trail and walkable to where you want to be for shopping and dining options.",https://a0.muscache.com/pictures/miso/Hosting-954290865421457015/original/9f308337-13ca-481f-a15a-b77571c6dafb.jpeg,124776282,https://www.airbnb.com/users/show/124776282,Jeff,2017-04-07,"Chicago, IL",,within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/79d913a2-c685-47d3-8122-8fefadcfbd80.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/79d913a2-c685-47d3-8122-8fefadcfbd80.jpg?aki_policy=profile_x_medium,Humboldt Park,1,1,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Humboldt Park,,41.9130319,-87.70992799999999,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Shower gel"", ""First aid kit"", ""Self check-in"", ""Wifi"", ""Pets allowed"", ""Central heating"", ""Free dryer \u2013 In unit"", ""Smart lock"", ""Fire pit"", ""Dining table"", ""Coffee"", ""Shampoo"", ""Coffee maker: Nespresso"", ""Wine glasses"", ""Hangers"", ""Private entrance"", ""Private patio or balcony"", ""Clothing storage"", ""TV"", ""Air conditioning"", ""Outdoor furniture"", ""Outdoor dining area"", ""Washer"", ""Dishes and silverware"", ""Hair dryer"", ""Cleaning products"", ""Essentials"", ""Bed linens"", ""Fire extinguisher"", ""Mini fridge"", ""Kitchenette"", ""Sun loungers"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Toaster"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Free street parking"", ""Private backyard \u2013 Fully fenced"", ""Portable fans"", ""Microwave"", ""Hot water""]",$107.00,1,7,2,2,7,7,2.0,7.0,,t,0,4,4,13,2024-09-17,30,27,2,2023-09-06,2024-09-08,4.93,4.97,4.9,4.97,4.97,4.93,4.97,R23000103794,f,1,1,0,0,2.38
5878,964826062062035798,https://www.airbnb.com/rooms/964826062062035798,20240917031253,2024-09-17,city scrape,Spacious Private Room in Quiet Neighborhood (A),"The house is located in a beautiful and quiet tree lined neighborhood. It has spacious shared bedrooms with full size beds. Our space is for anyone looking for a perfect cross between affordability and comfort. Interns, workers on contracts, travel nurses and anyone traveling for work will find this place to be the ideal place to live while they work. Those on vacation or visiting Chicago can also take advantage of our space and its affordable price.",Close-by Work Locations:<br />- Advocate Trinity Hospital 1.2 miles away<br />- Jackson Trinity Hospital 2 miles away<br />- University of Chicago 4.4 miles away<br />- Hammond Casino 6.3 miles away<br />- B.P Whiting Indiana 7.2 miles away<br />- St Jude Medical Clinic 11 miles away<br /><br />Sightseeing:<br />- Lake Michigan 2.4 miles away<br />- Museum of Science and Industry 3.7 miles away<br />- Pullman Museum 3.8 miles away<br />- The Art Institute of Chicago 10 miles away<br />- Millennium Park 10 miles away<br />- Indiana Dunes National Park 26 miles away<br /><br />Restaurants:<br />- De Arcos 0.5 miles away<br />- Cocula Restaurant 0.8 miles away<br />- African Food Palace 0.8 miles away<br />- Hua’s Chinese Open Kitchen 0.9 miles away<br /><br />Grocery Stores:<br />- Jewel Osco 1.8 miles away<br />- Alidi 1.1 miles away,https://a0.muscache.com/pictures/miso/Hosting-964826062062035798/original/15bce1fc-1074-4fe6-83dc-4dbb2326830b.jpeg,13270940,https://www.airbnb.com/users/show/13270940,Jeff,2014-03-18,"Chicago, IL","I love to create wonderful and 
memorable experiences for our guests. 

Through Airbnb, I have met the most interesting people which inspired me to start hosting. 

I am passionate about food, traveling, music and languages.",within a few hours,100%,71%,f,https://a0.muscache.com/im/pictures/user/2d69d385-fd5b-4224-8712-e12a03ab180f.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/2d69d385-fd5b-4224-8712-e12a03ab180f.jpg?aki_policy=profile_x_medium,South Chicago,6,7,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,South Chicago,,41.7396,-87.56429,Private room in home,Private room,1,1.5,1.5 baths,1.0,1.0,"[""Shower gel"", ""Refrigerator"", ""First aid kit"", ""Backyard"", ""Wifi"", ""Heating"", ""Dryer"", ""Stove"", ""Lock on bedroom door"", ""Shampoo"", ""Hangers"", ""Oven"", ""Free parking on premises"", ""Bathtub"", ""Air conditioning"", ""Long term stays allowed"", ""Hot water kettle"", ""Washer"", ""Body soap"", ""Conditioner"", ""Hair dryer"", ""Cleaning products"", ""Essentials"", ""Bed linens"", ""Dishes and silverware"", ""Laundromat nearby"", ""Drying rack for clothing"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Free street parking"", ""Freezer"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",$35.00,5,365,5,5,365,365,5.0,365.0,,t,0,0,0,164,2024-09-17,1,1,0,2023-10-09,2023-10-09,2.0,1.0,2.0,4.0,4.0,4.0,3.0,R22000090299,f,6,0,2,4,0.09
5912,972011959303805892,https://www.airbnb.com/rooms/972011959303805892,20240917031253,2024-09-17,city scrape,Chic Comfort by UChicago Campus!,"Kick back and relax in this calm, stylish space only a 6 minute walk from the University of Chicago campus.  Walk to a full scale grocery store, multiple bus lines, and the Green Line CTA.<br />Perfect for traveling professionals or grad students!  You’ll be staying with me (social worker), my partner (corporate chef), and our house-trained kitties.",,https://a0.muscache.com/pictures/miso/Hosting-972011959303805892/original/633c52b1-76d7-4d95-b294-66fdbe4c4176.jpeg,106947291,https://www.airbnb.com/users/show/106947291,Rebecca,2016-12-11,"Chicago, IL",,within an hour,100%,97%,f,https://a0.muscache.com/im/pictures/user/User-106947291/original/4a5a7cea-3fca-485b-97ce-22134aedf8ef.png?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-106947291/original/4a5a7cea-3fca-485b-97ce-22134aedf8ef.png?aki_policy=profile_x_medium,Woodlawn,1,1,"['email', 'phone']",t,t,,Woodlawn,,41.7850366,-87.6105863,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Shower gel"", ""Refrigerator"", ""Stainless steel oven"", ""Self check-in"", ""Dishwasher"", ""Central heating"", ""Free dryer \u2013 In unit"", ""Stove"", ""Exterior security cameras on property"", ""Dining table"", ""Lock on bedroom door"", ""Sauve Essentials conditioner"", ""Hangers"", ""Bathtub"", ""Clothing storage"", ""Lockbox"", ""Central air conditioning"", ""Sauve Essentials shampoo"", ""Fast wifi \u2013 272 Mbps"", ""Coffee maker"", ""Dishes and silverware"", ""Hair dryer"", ""Cleaning products"", ""Essentials"", ""Bed linens"", ""Iron"", ""Free washer \u2013 In unit"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Free street parking"", ""Blender"", ""Freezer"", ""Ceiling fan"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",$46.00,2,28,2,2,28,28,2.0,28.0,,t,0,21,46,46,2024-09-17,34,34,5,2023-10-29,2024-09-13,5.0,4.97,5.0,4.91,5.0,4.62,4.91,R23000109033,f,1,0,1,0,3.14
6149,1000908118739582806,https://www.airbnb.com/rooms/1000908118739582806,20240917031253,2024-09-17,city scrape,Tree-Lined Street Near the Lake!,"Garden apartment in gorgeous Victorian home. Includes bedroom, kitchen, bathroom, pool table (upon agreement), outdoor terrace and garden. Tree-lined residential neighborhood, near public transit, restaurants, supermarket, and a 5-minute walk from beaches.",,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTAwMDkwODExODczOTU4MjgwNg%3D%3D/original/16548708-4831-4ec6-a0a5-6a2a425726e7.jpeg,194361,https://www.airbnb.com/users/show/194361,Mark,2010-08-07,"Chicago, IL","My name is Mark and I live in Chicago with my wife and two teenage kids. I have worked in journalism, in the field of philanthropy, and am now at a state humanities council. I am an avid photographer and have lived in Mexico, Norway and Spain for a combined seven years. I speak Spanish and Portuguese. ",within an hour,100%,100%,f,https://a0.muscache.com/im/users/194361/profile_pic/1357596034/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/194361/profile_pic/1357596034/original.jpg?aki_policy=profile_x_medium,Edgewater Glen,1,5,"['email', 'phone']",t,t,,Edgewater,,41.9920184,-87.66248069999999,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,0.0,"[""Smoke alarm"", ""Wifi"", ""Fire extinguisher"", ""TV"", ""Outdoor dining area"", ""Host greets you"", ""Kitchen"", ""Carbon monoxide alarm"", ""Washer""]",$98.00,4,365,4,4,365,365,4.0,365.0,,t,8,16,45,224,2024-09-17,12,12,4,2024-06-03,2024-09-13,4.92,4.92,4.83,5.0,5.0,5.0,5.0,R24000116029,f,1,1,0,0,3.36
6320,1024740688085376805,https://www.airbnb.com/rooms/1024740688085376805,20240917031253,2024-09-17,city scrape,Logan Square Delight: The place to be in.,"Indulge in the charm of this vintage-meets-modern Logan Square apartment.Only eight blocks from the Illinois centennial monument which is in the heart of Logan Square.This spacious 2-bedrooms,L.R,dining room, sunroom & dedicated workspace with fast internet has style, convenience, and character for one memorable experience. Parking & Starbucks coffee.<br />Enjoy local entertainment- Logan Theater, Andros Taverna,...The Logan Square Blue Line train ensures swift access to downtown and O'Hare airport.",,https://a0.muscache.com/pictures/miso/Hosting-1024740688085376805/original/72098a09-dca4-4e7c-9669-a1055f14df71.jpeg,515278470,https://www.airbnb.com/users/show/515278470,Joe,2023-05-17,,,within an hour,100%,97%,t,https://a0.muscache.com/im/pictures/user/User-515278470/original/87db044f-b8d1-492f-ae3e-91004cb3f54b.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-515278470/original/87db044f-b8d1-492f-ae3e-91004cb3f54b.jpeg?aki_policy=profile_x_medium,Logan Square,1,1,['phone'],t,t,,Logan Square,,41.92963357513264,-87.7246471289748,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,2.0,"[""Shower gel"", ""First aid kit"", ""Self check-in"", ""Wifi"", ""Dishwasher"", ""Heating"", ""Exterior security cameras on property"", ""Smart lock"", ""Dining table"", ""Coffee"", ""Shampoo"", ""Samsung stainless steel gas stove"", ""Samsung refrigerator"", ""55 inch HDTV with Roku, Amazon Prime Video"", ""Wine glasses"", ""Hangers"", ""Private entrance"", ""Bathtub"", ""Patio or balcony"", ""Paid dryer \u2013 In building"", ""Air conditioning"", ""Hot water kettle"", ""Body soap"", ""Paid washer \u2013 In building"", ""Conditioner"", ""Hair dryer"", ""Cleaning products"", ""Essentials"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""Dishes and silverware"", ""Coffee maker: drip coffee maker, french press, Keurig coffee machine"", ""Laundromat nearby"", ""Gym nearby"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Clothing storage: walk-in closet, closet, and dresser"", ""Toaster"", ""Free driveway parking on premises \u2013 1 space"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Samsung stainless steel single oven"", ""Blender"", ""Indoor fireplace: electric"", ""Board games"", ""Freezer"", ""Baking sheet"", ""Ceiling fan"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",$145.00,3,28,2,3,28,28,2.3,28.0,,t,12,39,69,159,2024-09-17,22,22,4,2024-04-29,2024-09-09,5.0,5.0,4.95,5.0,5.0,4.91,5.0,R23000108421,t,1,1,0,0,4.65
